id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
37,"Abhishek Polytechnic College, Abohar","Abohar,Punjab",Punjab,Abohar,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abhishek-polytechnic-college-abohar,https://www.careers360.com/colleges/abhishek-polytechnic-college-abohar?gallery=true,https://careers360.com/university/abhishek-polytechnic-college-abohar,https://www.careers360.com/university/abhishek-polytechnic-college-abohar?gallery=true
38,"Abhyudaya Mahila Degree College, Guntur","Guntur,Andhra Pradesh",Andhra Pradesh,Guntur,No Ranking,,,B.Sc Artificial Intelligence Hons,Not Mentioned,4.0/5,Not Mentioned,Private,https://careers360.com/colleges/abhyudaya-mahila-degree-college-guntur,https://www.careers360.com/colleges/abhyudaya-mahila-degree-college-guntur?gallery=true,https://careers360.com/university/abhyudaya-mahila-degree-college-guntur,https://www.careers360.com/university/abhyudaya-mahila-degree-college-guntur?gallery=true
39,"Abhyuday University, Khargone","Khargone,Madhya Pradesh",Madhya Pradesh,Khargone,No Ranking,,,B.Tech Computer Science and Engineering,Not Mentioned,No Ratings,['₹2.40 Lakhs'],Private,https://careers360.com/colleges/abhyuday-university-khargone,https://www.careers360.com/colleges/abhyuday-university-khargone?gallery=true,https://careers360.com/university/abhyuday-university-khargone,https://www.careers360.com/university/abhyuday-university-khargone?gallery=true
40,"ABI and ABI College Arts, Science and Technology, Thanjavur","Thanjavur,Tamil Nadu",Tamil Nadu,Thanjavur,No Ranking,,,B.Sc Electronics and Communications,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abi-and-abi-college-arts-science-and-technology-thanjavur,https://www.careers360.com/colleges/abi-and-abi-college-arts-science-and-technology-thanjavur?gallery=true,https://careers360.com/university/abi-and-abi-college-arts-science-and-technology-thanjavur,https://www.careers360.com/university/abi-and-abi-college-arts-science-and-technology-thanjavur?gallery=true
41,"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune","Pune,Maharashtra",Maharashtra,Pune,No Ranking,,,BE Artificial Intelligence and Data Science,"JEE Main,Maharashtra Common Entrance Test",5.0/5,['₹2.80 Lakhs'],Private,https://careers360.com/colleges/abmsp's-anantrao-pawar-college-of-engineering-and-research-pune,https://www.careers360.com/colleges/abmsp's-anantrao-pawar-college-of-engineering-and-research-pune?gallery=true,https://careers360.com/university/abmsp's-anantrao-pawar-college-of-engineering-and-research-pune,https://www.careers360.com/university/abmsp's-anantrao-pawar-college-of-engineering-and-research-pune?gallery=true
42,"Abohar Polytechnic College, Abohar","Abohar,Punjab",Punjab,Abohar,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abohar-polytechnic-college-abohar,https://www.careers360.com/colleges/abohar-polytechnic-college-abohar?gallery=true,https://careers360.com/university/abohar-polytechnic-college-abohar,https://www.careers360.com/university/abohar-polytechnic-college-abohar?gallery=true
43,"ABR College of Engineering and Technology, Prakasam","Prakasam,Andhra Pradesh",Andhra Pradesh,Prakasam,No Ranking,,,B.Tech Agricultural Engineering,"JEE Main,Andhra Pradesh Engineering Agriculture and Medical Common Entrance Test",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abr-college-of-engineering-and-technology-prakasam,https://www.careers360.com/colleges/abr-college-of-engineering-and-technology-prakasam?gallery=true,https://careers360.com/university/abr-college-of-engineering-and-technology-prakasam,https://www.careers360.com/university/abr-college-of-engineering-and-technology-prakasam?gallery=true
44,"ABS Academy of Polytechnic, Durgapur","Durgapur,West Bengal",West Bengal,Durgapur,No Ranking,,,Diploma in Mechanical Engineering,"JEXPO,",No Ratings,['₹93 K'],Private,https://careers360.com/colleges/abs-academy-of-polytechnic-durgapur,https://www.careers360.com/colleges/abs-academy-of-polytechnic-durgapur?gallery=true,https://careers360.com/university/abs-academy-of-polytechnic-durgapur,https://www.careers360.com/university/abs-academy-of-polytechnic-durgapur?gallery=true
45,"ABSS Institute of Technology, Meerut","Meerut,Uttar Pradesh",Uttar Pradesh,Meerut,No Ranking,,,B.Tech Computer Science and Engineering,"UPCET,",0.5/5,Not Mentioned,Private,https://careers360.com/colleges/abss-institute-of-technology-meerut,https://www.careers360.com/colleges/abss-institute-of-technology-meerut?gallery=true,https://careers360.com/university/abss-institute-of-technology-meerut,https://www.careers360.com/university/abss-institute-of-technology-meerut?gallery=true
46,"Abu Road Polytechnic College, Abu Road","Abu Road,Rajasthan",Rajasthan,Abu Road,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,5.0/5,['₹84 K'],Private,https://careers360.com/colleges/abu-road-polytechnic-college-abu-road,https://www.careers360.com/colleges/abu-road-polytechnic-college-abu-road?gallery=true,https://careers360.com/university/abu-road-polytechnic-college-abu-road,https://www.careers360.com/university/abu-road-polytechnic-college-abu-road?gallery=true
47,"Academy of Applied Art, Delhi","New Delhi,Delhi",Delhi,New Delhi,No Ranking,,,Diploma in Interior Architecture and Styling,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/academy-of-applied-art-delhi,https://www.careers360.com/colleges/academy-of-applied-art-delhi?gallery=true,https://careers360.com/university/academy-of-applied-art-delhi,https://www.careers360.com/university/academy-of-applied-art-delhi?gallery=true
48,"AMET University Kanathur - Academy of Maritime Education and Training, Kanathur","Kanathur Reddikuppam,Tamil Nadu",Tamil Nadu,Kanathur Reddikuppam,| Careers360  Rating: AAA,AAA,,BE Marine Engineering,"AMET Entrance Exam,",3.6/5,Not Mentioned,Private,https://careers360.com/colleges/academy-of-maritime-education-and-training-kanathur,https://www.careers360.com/colleges/academy-of-maritime-education-and-training-kanathur?gallery=true,https://careers360.com/university/academy-of-maritime-education-and-training-kanathur,https://www.careers360.com/university/academy-of-maritime-education-and-training-kanathur?gallery=true
51,"AOT Hooghly - Academy of Technology, Hooghly","Hooghly,West Bengal",West Bengal,Hooghly,| Careers360  Rating: AAA,AAA,,B.Tech Computer Science and Engineering,"JEE Main,West Bengal Joint Entrance Exam",4.1/5,['₹4.59 Lakhs'],Private,https://careers360.com/colleges/academy-of-technology-hooghly,https://www.careers360.com/colleges/academy-of-technology-hooghly?gallery=true,https://careers360.com/university/academy-of-technology-hooghly,https://www.careers360.com/university/academy-of-technology-hooghly?gallery=true
52,"Accurate Institute of Architecture and Planning, Greater Noida","Greater Noida,Uttar Pradesh",Uttar Pradesh,Greater Noida,No Ranking,,,B.Arch,"JEE Main,National Aptitude Test in ArchitectureUttar Pradesh Combined Entrance Examination",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/accurate-institute-of-architecture-and-planning-greater-noida,https://www.careers360.com/colleges/accurate-institute-of-architecture-and-planning-greater-noida?gallery=true,https://careers360.com/university/accurate-institute-of-architecture-and-planning-greater-noida,https://www.careers360.com/university/accurate-institute-of-architecture-and-planning-greater-noida?gallery=true
53,"Accurate Institute of Management and Technology, Greater Noida (AIMT Greater Noida) - Accurate Institute of Management and Technology, Greater Noida","Greater Noida,Uttar Pradesh",Uttar Pradesh,Greater Noida,No Ranking,,,B.Tech Computer Science and Engineering,"JEE Main,Uttar Pradesh Combined Entrance Examination",3.4/5,['₹4.75 Lakhs'],Private,https://careers360.com/colleges/accurate-institute-of-management-and-technology-greater-noida,https://www.careers360.com/colleges/accurate-institute-of-management-and-technology-greater-noida?gallery=true,https://careers360.com/university/accurate-institute-of-management-and-technology-greater-noida,https://www.careers360.com/university/accurate-institute-of-management-and-technology-greater-noida?gallery=true
54,"Accurate Institute of Polytechnic, Greater Noida","Greater Noida,Uttar Pradesh",Uttar Pradesh,Greater Noida,No Ranking,,,Diploma in Computer Science and Engineering,Not Mentioned,5.0/5,Not Mentioned,Private,https://careers360.com/colleges/accurate-institute-of-polytechnic-greater-noida,https://www.careers360.com/colleges/accurate-institute-of-polytechnic-greater-noida?gallery=true,https://careers360.com/university/accurate-institute-of-polytechnic-greater-noida,https://www.careers360.com/university/accurate-institute-of-polytechnic-greater-noida?gallery=true
55,"ACE College of Engineering and Management, Agra","Agra,Uttar Pradesh",Uttar Pradesh,Agra,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,3.0/5,Not Mentioned,Private,https://careers360.com/colleges/ace-college-of-engineering-and-management-agra,https://www.careers360.com/colleges/ace-college-of-engineering-and-management-agra?gallery=true,https://careers360.com/university/ace-college-of-engineering-and-management-agra,https://www.careers360.com/university/ace-college-of-engineering-and-management-agra?gallery=true
56,"ACE College of Engineering, Thiruvananthapuram","Thiruvananthapuram,Kerala",Kerala,Thiruvananthapuram,No Ranking,,,B.Tech Mechanical Engineering,"JEE Main,Kerala Engineering Architecture & Medical Examination",4.6/5,Not Mentioned,Private,https://careers360.com/colleges/ace-college-of-engineering-thiruvananthapuram,https://www.careers360.com/colleges/ace-college-of-engineering-thiruvananthapuram?gallery=true,https://careers360.com/university/ace-college-of-engineering-thiruvananthapuram,https://www.careers360.com/university/ace-college-of-engineering-thiruvananthapuram?gallery=true
