id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
2625,"Government Polytechnic, Champawat","Champawat,Uttarakhand",Uttarakhand,Champawat,No Ranking,,,Diploma in Electronics and Communication Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-champawat,https://www.careers360.com/colleges/government-polytechnic-champawat?gallery=true,https://careers360.com/university/government-polytechnic-champawat,https://www.careers360.com/university/government-polytechnic-champawat?gallery=true
2626,"Government Polytechnic, Chandausi","Chandausi,Uttar Pradesh",Uttar Pradesh,Chandausi,No Ranking,,,Diploma in Chemical Engineering,"JEECUP,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chandausi,https://www.careers360.com/colleges/government-polytechnic-chandausi?gallery=true,https://careers360.com/university/government-polytechnic-chandausi,https://www.careers360.com/university/government-polytechnic-chandausi?gallery=true
2627,"Government Polytechnic, Changipur","Bijnor,Uttar Pradesh",Uttar Pradesh,Bijnor,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-changipur,https://www.careers360.com/colleges/government-polytechnic-changipur?gallery=true,https://careers360.com/university/government-polytechnic-changipur,https://www.careers360.com/university/government-polytechnic-changipur?gallery=true
2628,"Government Polytechnic, Channapatna","Ramanagara,Karnataka",Karnataka,Ramanagara,No Ranking,,,Diploma in Automobile Engineering,Not Mentioned,No Ratings,['₹12.81 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-channapatna,https://www.careers360.com/colleges/government-polytechnic-channapatna?gallery=true,https://careers360.com/university/government-polytechnic-channapatna,https://www.careers360.com/university/government-polytechnic-channapatna?gallery=true
2629,"Government Polytechnic, Channasandra","Bangalore,Karnataka",Karnataka,Bangalore,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹12.81 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-channasandra,https://www.careers360.com/colleges/government-polytechnic-channasandra?gallery=true,https://careers360.com/university/government-polytechnic-channasandra,https://www.careers360.com/university/government-polytechnic-channasandra?gallery=true
2630,"Government Polytechnic, Chappar","Charkhi Dadri,Haryana",Haryana,Charkhi Dadri,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chappar,https://www.careers360.com/colleges/government-polytechnic-chappar?gallery=true,https://careers360.com/university/government-polytechnic-chappar,https://www.careers360.com/university/government-polytechnic-chappar?gallery=true
2631,"Government Polytechnic, Chatra","Chatra,Jharkhand",Jharkhand,Chatra,No Ranking,,,Diploma in Mechatronics Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chatra,https://www.careers360.com/colleges/government-polytechnic-chatra?gallery=true,https://careers360.com/university/government-polytechnic-chatra,https://www.careers360.com/university/government-polytechnic-chatra?gallery=true
2632,"Government Polytechnic, Chegunta","Medak,Telangana",Telangana,Medak,No Ranking,,,Diploma in Electrical and Electronics Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chegunta,https://www.careers360.com/colleges/government-polytechnic-chegunta?gallery=true,https://careers360.com/university/government-polytechnic-chegunta,https://www.careers360.com/university/government-polytechnic-chegunta?gallery=true
2633,"Government Polytechnic, Cheriyal","Cheriyal,Telangana",Telangana,Cheriyal,No Ranking,,,Diploma in Civil Engineering,"TS POLYCET,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-cheriyal,https://www.careers360.com/colleges/government-polytechnic-cheriyal?gallery=true,https://careers360.com/university/government-polytechnic-cheriyal,https://www.careers360.com/university/government-polytechnic-cheriyal?gallery=true
2634,"Government Polytechnic, Chhabilhakhor","Basti,Uttar Pradesh",Uttar Pradesh,Basti,No Ranking,,,Diploma in Electrical and Electronics Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chhabilhakhor,https://www.careers360.com/colleges/government-polytechnic-chhabilhakhor?gallery=true,https://careers360.com/university/government-polytechnic-chhabilhakhor,https://www.careers360.com/university/government-polytechnic-chhabilhakhor?gallery=true
2635,"Government Polytechnic, Chhotaudepur","Vadodara,Gujarat",Gujarat,Vadodara,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chhotaudepur,https://www.careers360.com/colleges/government-polytechnic-chhotaudepur?gallery=true,https://careers360.com/university/government-polytechnic-chhotaudepur,https://www.careers360.com/university/government-polytechnic-chhotaudepur?gallery=true
2636,"Government Polytechnic, Chintamani","Chikkaballapur,Karnataka",Karnataka,Chikkaballapur,No Ranking,,,Diploma in Mechanical Engineering,Not Mentioned,No Ratings,['₹12.81 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-chintamani,https://www.careers360.com/colleges/government-polytechnic-chintamani?gallery=true,https://careers360.com/university/government-polytechnic-chintamani,https://www.careers360.com/university/government-polytechnic-chintamani?gallery=true
2637,"Government Polytechnic, Chitradurga","Chitradurga,Karnataka",Karnataka,Chitradurga,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chitradurga,https://www.careers360.com/colleges/government-polytechnic-chitradurga?gallery=true,https://careers360.com/university/government-polytechnic-chitradurga,https://www.careers360.com/university/government-polytechnic-chitradurga?gallery=true
2638,"Government Polytechnic, Chodavaram","Visakhapatnam,Andhra Pradesh",Andhra Pradesh,Visakhapatnam,No Ranking,,,Diploma In Computer Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chodavaram,https://www.careers360.com/colleges/government-polytechnic-chodavaram?gallery=true,https://careers360.com/university/government-polytechnic-chodavaram,https://www.careers360.com/university/government-polytechnic-chodavaram?gallery=true
2639,"Government Polytechnic, Chopan","Chopan,Uttar Pradesh",Uttar Pradesh,Chopan,No Ranking,,,Diploma in Computer Science and Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-chopan,https://www.careers360.com/colleges/government-polytechnic-chopan?gallery=true,https://careers360.com/university/government-polytechnic-chopan,https://www.careers360.com/university/government-polytechnic-chopan?gallery=true
2640,"Government Polytechnic Chunar, Mirzapur","Mirzapur,Uttar Pradesh",Uttar Pradesh,Mirzapur,No Ranking,,,Diploma in Electrical and Electronics Engineering,Not Mentioned,No Ratings,['₹33.73 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-chunar-mirzapur,https://www.careers360.com/colleges/government-polytechnic-chunar-mirzapur?gallery=true,https://careers360.com/university/government-polytechnic-chunar-mirzapur,https://www.careers360.com/university/government-polytechnic-chunar-mirzapur?gallery=true
